commodity,brand,specification,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec
Laundry Soap,Perla,380g,50.5,,48.75,48.75,51,54.5,54.5,53.5,53.5,53.5,54.5,54.5
Laundry Soap,Speed,330g,21,,21,21,21,21,21,21,21,21,21,21
Laundry Soap,Speed,330g,21,,21,21,21,21,21,21,21,21,21,21
Laundry Soap,Speed,330g,22.5,,21,21,21,21,22.5,21,21,21,21,21
Laundry Soap,Speed,330g,21.5,,20,20,20,20,21.5,20,20,20,21.5,20
Laundry Soap,Sulit,330g,19.25,,,19.25,19.25,,,,,,,
Laundry Soap,Sulit,330g,19.25,,,19.25,19.25,,,,,,,
Laundry Soap,Sulit,330g,19.25,,,19.25,19.25,,,,,,,
Laundry Soap,Sulit,330g,19.25,,,19.25,19.25,,,,,,,
Laundry Soap,Surf,120g,11.5,,11.5,12,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
Laundry Soap,Surf,360g,23,,,23,23,23,,25.5,28.75,21.55,22.5,23
Laundry Soap,Surf,120g,11.5,,11.5,12,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
Laundry Soap,Surf,360g,34,,28.5,29.5,28.5,29.5,29.5,28.5,28.5,28.5,28.5,28.5
Laundry Soap,Surf,120g,10.75,,10.75,11.25,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75
Laundry Soap,Surf,360g,23,,23,23,23,23,23,23,23,23,23,23
Laundry Soap,Surf,120g,,,11.5,11.5,11.25,10.5,10.7,10.75,11.3,,11,11.65
Laundry Soap,Surf,360g,21.75,,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75
Laundry Soap,Surf,120g,11.5,,11.5,12,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
Laundry Soap,Surf,360g,28.5,,29.5,30,28.5,29.5,28.5,28.5,28.5,28.5,28.5,28.5
